localepochs,localbatchsize,clients,rounds,r2,mse,rmse,traintime
15,4,25,10,0.9330442920488503,1073575.625,1036.1348876953125,37.333287954330444
15,8,5,2,0.9151673496556887,1360216.625,1166.283203125,14.055803060531616
15,8,5,5,0.9352475287222766,1038248.6875,1018.9448852539062,26.578611850738525
15,8,5,10,0.9421405193448861,927725.625,963.1851196289062,45.93291521072388
15,8,10,2,0.9172486405684065,1326844.875,1151.8875732421875,10.795296907424927
15,8,10,5,0.9316774765493305,1095491.25,1046.6572265625,18.008552074432373
15,8,10,10,0.9366246578389724,1016167.625,1008.0513916015625,30.431403875350952
15,8,25,2,0.9077187148260069,1479648.875,1216.408203125,11.99777102470398
15,8,25,5,0.9295303272999428,1129918.875,1062.9764404296875,16.846306085586548
15,8,25,10,0.9329133444168194,1075675.25,1037.147705078125,24.363100051879883
15,16,5,2,0.9292429931007126,1134526.125,1065.141357421875,10.199186086654663
15,16,5,5,0.9332744776112083,1069884.75,1034.352294921875,17.352937936782837
15,16,5,10,0.9381696283990445,991395.4375,995.6884155273438,28.120273113250732
15,16,10,2,0.9221234982260801,1248680.75,1117.44384765625,9.29865288734436
15,16,10,5,0.9286171416613811,1144561.125,1069.8416748046875,13.06139326095581
15,16,10,10,0.9344897228664708,1050399.375,1024.889892578125,20.180386066436768
15,16,25,2,0.8091115999871623,3060726.75,1749.4932861328125,11.143399953842163
15,16,25,5,0.9267102451875768,1175136.375,1084.037109375,13.821889638900757
15,16,25,10,0.932027285437633,1089882.375,1043.974365234375,18.313421964645386
