runnumber,fraction_fit,localepochs,localbatchsize,clients,rounds,r2,traintime,distribution
126,1.0,5,32,30,5,0.9221576377515518,19.697851181030273,1
127,0.2,5,32,30,10,0.9218805990799993,17.815088987350464,0
128,0.5,5,32,30,10,0.9223877192461006,22.634199142456055,0
129,1.0,5,32,30,10,0.9224707129627272,30.177847862243652,0
130,0.2,5,32,30,10,0.9245076135175658,19.275386095046997,1
131,0.5,5,32,30,10,0.9240657771867458,22.61410689353943,1
132,1.0,5,32,30,10,0.9257392577585712,30.824803829193115,1
133,0.2,5,32,30,15,0.9237116183414755,21.701486110687256,0
134,0.5,5,32,30,15,0.9247054869065147,29.52618908882141,0
135,1.0,5,32,30,15,0.9258903626393462,41.141326904296875,0
136,0.2,5,32,30,15,0.9265369946858331,23.819211959838867,1
137,0.5,5,32,30,15,0.9237870816719034,28.42882204055786,1
138,1.0,5,32,30,15,0.9292392068960793,41.306668758392334,1
139,0.2,5,32,30,20,0.928183182202388,25.70454692840576,0
140,0.5,5,32,30,20,0.9274706173671291,35.969353914260864,0
141,1.0,5,32,30,20,0.9268220243534874,51.81374192237854,0
142,0.2,5,32,30,20,0.9299570794767977,29.020933151245117,1
143,0.5,5,32,30,20,0.9335900999770953,35.95701599121094,1
144,1.0,5,32,30,20,0.9328760493720369,53.60088086128235,1
145,0.2,5,64,5,5,0.9191344361855479,10.375432968139648,0
146,0.5,5,64,5,5,0.920762166683094,10.085060834884644,0
147,1.0,5,64,5,5,0.9219124985959849,11.320209980010986,0
148,0.2,5,64,5,5,0.9200705920892304,13.323143005371094,1
149,0.5,5,64,5,5,0.9225408379440242,10.522032260894775,1
150,1.0,5,64,5,5,0.9304230506330917,13.61068320274353,1
151,0.2,5,64,5,10,0.9361288154200794,15.72835397720337,0
152,0.5,5,64,5,10,0.9345955351827682,15.127315759658813,0
153,1.0,5,64,5,10,0.9343450073602154,17.06671404838562,0
154,0.2,5,64,5,10,0.9431236792992916,18.922327041625977,1
155,0.5,5,64,5,10,0.9371187658420538,17.95718002319336,1
156,1.0,5,64,5,10,0.9518646635069496,19.388712882995605,1
157,0.2,5,64,5,15,0.9421742061642955,20.097190856933594,0
158,0.5,5,64,5,15,0.9527815645605215,20.30290198326111,0
159,1.0,5,64,5,15,0.9456099094120805,22.239428997039795,0
160,0.2,5,64,5,15,0.9571446959537193,22.586426973342896,1
161,0.5,5,64,5,15,0.9653488838740937,22.843338012695312,1
162,1.0,5,64,5,15,0.9656248505539554,31.163400888442993,1
163,0.2,5,64,5,20,0.9605538194283044,23.480673789978027,0
164,0.5,5,64,5,20,0.964207406463772,23.6910982131958,0
165,1.0,5,64,5,20,0.9618296106426513,28.85276985168457,0
166,0.2,5,64,5,20,0.9692267282674175,32.48031210899353,1
167,0.5,5,64,5,20,0.9713992080634469,33.111457109451294,1
168,1.0,5,64,5,20,0.9713766901325058,35.51489591598511,1
169,0.2,5,64,25,5,0.8657797557667608,12.907760858535767,0
170,0.5,5,64,25,5,0.8815138496049592,13.658457040786743,0
171,1.0,5,64,25,5,0.8867186617765583,16.13333296775818,0
172,0.2,5,64,25,5,0.9180889178340365,13.228641986846924,1
173,0.5,5,64,25,5,0.914640543392045,13.663291931152344,1
174,1.0,5,64,25,5,0.9201789189349494,16.293209075927734,1
175,0.2,5,64,25,10,0.9193277631776051,15.644104957580566,0
176,0.5,5,64,25,10,0.9194674397890719,18.42103385925293,0
177,1.0,5,64,25,10,0.9214022291890781,23.499483108520508,0
178,0.2,5,64,25,10,0.9200928933804084,16.016241788864136,1
179,0.5,5,64,25,10,0.9243851862757125,18.62111210823059,1
180,1.0,5,64,25,10,0.9246062868874143,23.656423330307007,1
181,0.2,5,64,25,15,0.9225506090422596,18.725364923477173,0
182,0.5,5,64,25,15,0.922944420686052,22.405544996261597,0
183,1.0,5,64,25,15,0.9237495370877841,30.02537202835083,0
184,0.2,5,64,25,15,0.9215048219846214,20.16924476623535,1
185,0.5,5,64,25,15,0.9262506372401621,22.748090744018555,1
186,1.0,5,64,25,15,0.9292153325320358,31.230472087860107,1
187,0.2,5,64,25,20,0.9257497622343669,21.68087124824524,0
188,0.5,5,64,25,20,0.9238231206796255,26.668524980545044,0
189,1.0,5,64,25,20,0.9257999487549335,37.3161997795105,0
190,0.2,5,64,25,20,0.9263360943680442,23.412166118621826,1
191,0.5,5,64,25,20,0.9322563764745135,28.030105113983154,1
192,1.0,5,64,25,20,0.9306719112794593,38.66055393218994,1
193,0.2,5,64,30,5,0.834699547438404,13.75469708442688,0
194,0.5,5,64,30,5,0.821177805921934,15.420948028564453,0
195,1.0,5,64,30,5,0.8082564591102643,17.953279972076416,0
196,0.2,5,64,30,5,0.9085051368162149,13.742137670516968,1
197,0.5,5,64,30,5,0.9190732299668131,15.285520315170288,1
198,1.0,5,64,30,5,0.9178308501374122,17.91860294342041,1
199,0.2,5,64,30,10,0.9206102103135781,17.14740514755249,0
200,0.5,5,64,30,10,0.919553276267583,20.8071448802948,0
201,1.0,5,64,30,10,0.9200051757811032,26.2394859790802,0
202,0.2,5,64,30,10,0.9229016923445912,17.799337148666382,1
203,0.5,5,64,30,10,0.9238144574763824,20.847305059432983,1
204,1.0,5,64,30,10,0.9242130406558062,26.679717779159546,1
205,0.2,5,64,30,15,0.9220636503976902,20.555150985717773,0
206,0.5,5,64,30,15,0.92280466464723,26.034663915634155,0
207,1.0,5,64,30,15,0.9228238956101846,34.12576508522034,0
208,0.2,5,64,30,15,0.9261695990750893,21.43772006034851,1
209,0.5,5,64,30,15,0.9249421475957695,25.206462144851685,1
210,1.0,5,64,30,15,0.9274384326026975,34.4336040019989,1
211,0.2,5,64,30,20,0.9219360311338435,23.759205102920532,0
212,0.5,5,64,30,20,0.9221587383467991,31.518330812454224,0
213,1.0,5,64,30,20,0.92476683657181,42.35676121711731,0
214,0.2,5,64,30,20,0.9278622424376064,25.227946996688843,1
215,0.5,5,64,30,20,0.9284919880887417,30.24609899520874,1
216,1.0,5,64,30,20,0.929840785412112,42.93173408508301,1
217,0.2,5,128,5,5,0.920162776567375,9.393407106399536,0
218,0.5,5,128,5,5,0.9237750361764189,9.287352085113525,0
219,1.0,5,128,5,5,0.9227860665926552,9.358683109283447,0
220,0.2,5,128,5,5,0.9205071705886562,10.06475305557251,1
221,0.5,5,128,5,5,0.91889149311002,10.338294744491577,1
222,1.0,5,128,5,5,0.9245743940367799,11.19461703300476,1
223,0.2,5,128,5,10,0.9251138477050334,12.997708082199097,0
224,0.5,5,128,5,10,0.928536004903615,11.96660304069519,0
225,1.0,5,128,5,10,0.9268171990338683,14.348330020904541,0
226,0.2,5,128,5,10,0.9321890120923253,13.115766048431396,1
227,0.5,5,128,5,10,0.9389127722911835,14.853578090667725,1
228,1.0,5,128,5,10,0.938724646370031,18.086108922958374,1
229,0.2,5,128,5,15,0.936901177320571,15.81196904182434,0
230,0.5,5,128,5,15,0.9366976799191167,15.807048797607422,0
231,1.0,5,128,5,15,0.9321535233381938,18.856523036956787,0
232,0.2,5,128,5,15,0.9392898372445995,19.210411071777344,1
233,0.5,5,128,5,15,0.9379686788380601,18.97833514213562,1
234,1.0,5,128,5,15,0.9397270486245177,24.22244691848755,1
235,0.2,5,128,5,20,0.9393880108418774,20.374907970428467,0
236,0.5,5,128,5,20,0.9491177250308249,20.387619972229004,0
237,1.0,5,128,5,20,0.9374904007711605,23.629142999649048,0
238,0.2,5,128,5,20,0.9580332719603053,25.755134105682373,1
239,0.5,5,128,5,20,0.96468669664991,25.16889500617981,1
240,1.0,5,128,5,20,0.9671649377832906,30.604074001312256,1
241,0.2,5,128,25,5,0.27237373885633676,12.286877155303955,0
242,0.5,5,128,25,5,0.22902415776144947,13.084342241287231,0
243,1.0,5,128,25,5,0.21075580414014494,14.921824216842651,0
244,0.2,5,128,25,5,0.799641304030377,12.293666124343872,1
245,0.5,5,128,25,5,0.8569649171634169,12.947132110595703,1
246,1.0,5,128,25,5,0.8992038993230664,15.303022146224976,1
247,0.2,5,128,25,10,0.9099203420776679,15.150421142578125,0
248,0.5,5,128,25,10,0.9079612491500181,17.315178871154785,0
249,1.0,5,128,25,10,0.9117040340575693,21.16266107559204,0
250,0.2,5,128,25,10,0.9169064483240627,15.758951187133789,1
251,0.5,5,128,25,10,0.9212513059468719,17.56989097595215,1
252,1.0,5,128,25,10,0.9206326717058056,21.361138343811035,1
253,0.2,5,128,25,15,0.9203306687405136,17.79057002067566,0
254,0.5,5,128,25,15,0.9207944118937154,20.903620958328247,0
255,1.0,5,128,25,15,0.9208215000713634,27.15157175064087,0
256,0.2,5,128,25,15,0.9251163717944095,18.675086736679077,1
257,0.5,5,128,25,15,0.9244011003363615,21.2326180934906,1
258,1.0,5,128,25,15,0.9236594331474831,27.805856943130493,1
259,0.2,5,128,25,20,0.9226240726275616,20.477460861206055,0
260,0.5,5,128,25,20,0.9228630495875155,25.042976140975952,0
261,1.0,5,128,25,20,0.9231717658749435,33.47080707550049,0
262,0.2,5,128,25,20,0.9232505133744303,21.363056898117065,1
263,0.5,5,128,25,20,0.9267906093953905,24.861699104309082,1
264,1.0,5,128,25,20,0.9266249383306687,34.818732023239136,1
265,0.2,5,128,30,5,0.1326885741163374,13.121504783630371,0
266,0.5,5,128,30,5,0.12984860361532757,14.808227062225342,0
267,1.0,5,128,30,5,0.12815272761014795,16.66295289993286,0
268,0.2,5,128,30,5,0.5505087999643343,13.029826164245605,1
269,0.5,5,128,30,5,0.6307518809815771,14.217172861099243,1
270,1.0,5,128,30,5,0.8506022504043126,16.74854278564453,1
271,0.2,5,128,30,10,0.86429213893027,16.146795988082886,0
272,0.5,5,128,30,10,0.8795198473804244,19.155953884124756,0
273,1.0,5,128,30,10,0.8913022412599056,23.547963857650757,0
274,0.2,5,128,30,10,0.9205465456459102,16.664944887161255,1
275,0.5,5,128,30,10,0.9200132984335102,18.83963918685913,1
276,1.0,5,128,30,10,0.9200652588165823,23.583937168121338,1
277,0.2,5,128,30,15,0.9189410260484986,19.09449791908264,0
278,0.5,5,128,30,15,0.918949848782808,23.832868814468384,0
279,1.0,5,128,30,15,0.9189729006422505,30.65622091293335,0
280,0.2,5,128,30,15,0.9232564655176877,19.699594974517822,1
281,0.5,5,128,30,15,0.9237076759102443,23.29118585586548,1
282,1.0,5,128,30,15,0.9239442132416953,30.982938051223755,1
283,0.2,5,128,30,20,0.9198272749569417,22.11662793159485,0
284,0.5,5,128,30,20,0.920658558404732,28.39965796470642,0
285,1.0,5,128,30,20,0.9214407239457019,37.27194380760193,0
286,0.2,5,128,30,20,0.9245901143369455,22.925073862075806,1
287,0.5,5,128,30,20,0.9251016097547576,27.644148111343384,1
288,1.0,5,128,30,20,0.925598944066099,37.87865591049194,1
289,0.2,15,16,5,5,0.9657944524651618,40.617636919021606,0
290,0.5,15,16,5,5,0.9720377267732835,38.85776996612549,0
291,1.0,15,16,5,5,0.9734061429802737,45.69986295700073,0
292,0.2,15,16,5,5,0.9649419429128816,51.707693099975586,1
293,0.5,15,16,5,5,0.9626497059911351,50.815420150756836,1
294,1.0,15,16,5,5,0.9769592455019167,64.03491115570068,1
295,0.2,15,16,5,10,0.975536800622033,73.74598717689514,0
296,0.5,15,16,5,10,0.975745916983497,76.9297399520874,0
297,1.0,15,16,5,10,0.9767820809520765,88.37985467910767,0
298,0.2,15,16,5,10,0.9757372212203921,106.01688599586487,1
299,0.5,15,16,5,10,0.9786026971281453,99.44928002357483,1
300,1.0,15,16,5,10,0.9797638122245481,117.43921709060669,1
301,0.2,15,16,5,15,0.9786941298204869,95.74893283843994,0
302,0.5,15,16,5,15,0.97870930527193,105.95694613456726,0
303,1.0,15,16,5,15,0.9795153477205311,130.80775594711304,0
304,0.2,15,16,5,15,0.9782100730741203,155.30714988708496,1
305,0.5,15,16,5,15,0.97873553664218,175.2147409915924,1
306,1.0,15,16,5,15,0.9799068153456788,197.78622794151306,1
307,0.2,15,16,5,20,0.9759444363084449,135.55055737495422,0
308,0.5,15,16,5,20,0.9787648982696809,138.96396017074585,0
309,1.0,15,16,5,20,0.979851460971711,167.0467460155487,0
310,0.2,15,16,5,20,0.971957793989849,165.84212398529053,1
311,0.5,15,16,5,20,0.979656155154429,190.67474794387817,1
312,1.0,15,16,5,20,0.9799717777361,263.55225801467896,1
313,0.2,15,16,25,5,0.9264201631291683,19.05546808242798,0
314,0.5,15,16,25,5,0.9237086878475327,25.695888996124268,0
315,1.0,15,16,25,5,0.9270663635355019,40.793702125549316,0
316,0.2,15,16,25,5,0.9330594929247793,23.704231023788452,1
317,0.5,15,16,25,5,0.9282415355754484,25.886630058288574,1
318,1.0,15,16,25,5,0.9333691551511754,42.72406220436096,1
319,0.2,15,16,25,10,0.9531051722983158,29.126643896102905,0
320,0.5,15,16,25,10,0.949487716087366,43.83836507797241,0
321,1.0,15,16,25,10,0.9500046741234272,76.78150916099548,0
322,0.2,15,16,25,10,0.9621979711515752,39.82741570472717,1
323,0.5,15,16,25,10,0.9663455956547585,49.305821895599365,1
324,1.0,15,16,25,10,0.9668405932714196,76.97907996177673,1
325,0.2,15,16,25,15,0.9630060168500798,40.09637498855591,0
326,0.5,15,16,25,15,0.9652874018436675,63.152222871780396,0
327,1.0,15,16,25,15,0.967345235461792,115.14643216133118,0
328,0.2,15,16,25,15,0.9652550564379351,48.55761098861694,1
329,0.5,15,16,25,15,0.9731844338451854,69.49247288703918,1
